Developer,City,Administrative division,country_code,Country,Est.,"Notable games, series or franchises",Notes
Bizarre Creations,Liverpool,England,GBR,United Kingdom,1994,Project Gotham Racing seriesGeometry Wars series,Defunct in 2011
Black Forest Games,Offenburg,,DEU,Germany,2012,Giana Sisters: Twisted Dreams,Acquired by THQ Nordic in 2017
Black Isle Studios,Orange County,California,USA,United States,1996,Fallout 2Planescape: TormentIcewind Dale,Subsidiary of Interplay Entertainment; closed in 2003
Black Rock Studio,Brighton,England,GBR,United Kingdom,1998,MotoGP 2ATV Offroad Fury 3,Defunct in 2011
Black Wing Foundation,Dnipro,,UKR,Ukraine,2006,Stalin vs. MartiansSpeed Kills,
Blitz Games Studios,Leamington Spa,England,GBR,United Kingdom,1990,Karaoke Revolution,Liquidated[7]
Blizzard Entertainment,Irvine,California,USA,United States,1991,Diablo seriesStarCraft seriesWarcraft seriesHearthstoneHeroes of the StormOverwatch,Developer/publisher; acquired by Vivendi and became part of Vivendi Games group in 1998; merged into Activision Blizzard in 2008
Bloober Team,Kraków,Lesser Poland Voivodeship,POL,Poland,2008,Layers of Fear series,
Bluepoint Games,Austin,Texas,USA,United States,2006,Shadow of the Colossus remakeDemon's Souls remake,
Blueside,Seoul,,KOR,South Korea,2003,Kingdom Under Fire series,Founded by former employees of Phantagram
Blue Fang Games,Waltham,Massachusetts,USA,United States,1998,Zoo Tycoon series,Shut down in 2011
Blue Tongue Entertainment,Melbourne,Victoria,AUS,Australia,1995,Jurassic Park: Operation Genesisde BlobMarvel Super Hero Squad,Shut down in 2011; subsidiary of THQ
Bluehole,Seongnam,,KOR,South Korea,2007,TERAPlayerUnknown's Battlegrounds,
Bohemia Interactive,Prague,,CZE,Czech Republic,1999,Operation Flashpoint: Cold War CrisisArma seriesTake On HelicoptersCarrier Command: Gaea MissionDayZ,
Boss Fight Entertainment,McKinney,Texas,USA,United States,2013,,
Boss Key Productions,Raleigh,North Carolina,USA,United States,2014,LawBreakers,Founded by Cliff Bleszinski and Arjan Brussee
BreakAway Games,Hunt Valley,Maryland,USA,United States,1998,,
