Developer,City,Administrative division,country_code,Country,Est.,"Notable games, series or franchises",Notes
Good-Feel,Kobe,,JPN,Japan,2005,Kirby's Epic YarnYoshi's Woolly WorldYoshi's Crafted World,Founded by former employees of Konami
Granzella,Nonoichi,,JPN,Japan,2011,Disaster Report 4 Plus: Summer Memories,Founded by former Irem employees
Grasshopper Manufacture,"Chiyoda, Tokyo",,JPN,Japan,1998,"The Silver CaseFlower, Sun, and Rainkiller7No More Heroes seriesShadows of the DamnedLollipop ChainsawKiller Is DeadLet It Die",Founded by Suda51; acquired by GungHo Online Entertainment in 2013
Gravity,Seoul,,KOR,South Korea,2000,Ragnarok Online,Acquired by GungHo Online Entertainment
Gray Matter Interactive,Los Angeles,California,USA,United States,1993,Call of Duty: United Offensive,Merged into Treyarch in 2005
Gremlin Interactive,Sheffield,England,GBR,United Kingdom,1984,Zool and Premier Manager,Taken over by Infogrames in 1999 studio closed in 2003
Grezzo,"Shibuya, Tokyo",,JPN,Japan,2006,The Legend of Zelda: Ocarina of Time 3DThe Legend of Zelda: Majora's Mask 3DThe Legend of Zelda: Tri Force HeroesEver OasisThe Legend of Zelda: Link's Awakening (2019 Remake),Second-party developer of Nintendo
Grinding Gear Games,Auckland,,NZL,New Zealand,2006,Path of Exile,Acquired by Tencent
Griptonite Games,Kirkland,Washington,USA,United States,1994,Marvel Super Hero Squad: Comic Combat,Acquired by Glu Mobile
GSC Game World,Kyiv,,UKR,Ukraine,1995,S.T.A.L.K.E.R series,"Defunct in 2011, reopened in 2014"
Guerrilla Cambridge,Cambridge,England,GBR,United Kingdom,1997,MediEvil series,Branch of Guerrilla Games and division of SIE Worldwide Studios; closed in 2017
Guerrilla Games,Amsterdam,,NLD,Netherlands,2000,Killzone seriesHorizon Zero Dawn,Division of SIE Worldwide Studios since 2004
Gunfire Games,Austin,Texas,USA,United States,2014,Darksiders IIIRemnant: From the Ashes,Formed by former employees of Vigil Games; acquired by THQ Nordic in 2019
GungHo Online Entertainment,"Chiyoda, Tokyo",,JPN,Japan,1998,Puzzle & Dragons series,Developer/publisher
Gust,Nagano,,JPN,Japan,1993,Atelier seriesFairy Tail,Became a division of Koei Tecmo Games in 2014
Haemimont Games,Sofia,,BGR,Bulgaria,1997,Tropico 5,
HAL Laboratory,"Chiyoda, Tokyo",,JPN,Japan,1980,Kirby series Earthbound/Mother seriesPokémon Snap,Developer closely associated with Nintendo
Halfbrick,Brisbane,Queensland,AUS,Australia,2001,Fruit Ninja seriesJetpack Joyride,Mobile game developer/publisher
Hanaho,Cerritos,California,USA,United States,1992,,
h.a.n.d.,Sapporo,,JPN,Japan,1993,Aikatsu! seriesKingdom Hearts 358/2 DaysDisney Magical World series,
Hangar 13,Novato,California,USA,United States,2014,Mafia III,Subsidiary of 2K Games
Harebrained Schemes,Seattle,Washington,USA,United States,2011,Shadowrun ReturnsShadowrun: DragonfallShadowrun: Hong Kong,Acquired by Paradox Interactive in 2018
Harmonix Music Systems,Cambridge,Massachusetts,USA,United States,1995,Guitar Hero seriesRock Band seriesDance Central series,Former subsidiary of Viacom
Headstrong Games,London,England,GBR,United Kingdom,2000,Battalion Wars seriesArt Academy series,Subsidiary of Kuju Entertainment; defunct in 2017
Heartbeat,Tokyo,,JPN,Japan,1992,Dragon Quest VI–VII,
HB Studios,Lunenburg,Nova Scotia,CAN,Canada,2000,The Golf Club series,
HeroCraft,Kaliningrad,,RUS,Russia,2001,"Warhammer 40,000: Space Wolf",
High Impact Games,Burbank,California,USA,United States,2003,Ratchet & Clank: Size MattersSecret Agent ClankJak and Daxter: The Lost Frontier,Founded by former employees of Insomniac Games & Naughty Dog
High Moon Studios,San Diego,California,USA,United States,2005,Transformers: War for Cybertron seriesDeadpool,Subsidiary of Activision
High Voltage Software,Hoffman Estates,Illinois,USA,United States,1993,The Conduit series,
Hoplon Infotainment,Florianópolis,Santa Catarina,BRA,Brazil,2004,Taikodom,
